Time_A	Channel_A	Time_B	Channel_B	Time_C	Channel_C	Time_D	Channel_D
30.631	109.517185	30.631	55.710749	30.631	4.096546	30.631	-1.921396
30.931	115.584574	30.931	55.181144	30.931	3.551121	30.931	0.266040
31.231	117.882846	31.231	53.129462	31.231	3.420607	31.231	-2.875359
31.532	116.787342	31.532	62.599936	31.532	3.443211	31.532	-0.456387
31.832	118.888756	31.832	54.732621	31.832	4.283480	31.832	-1.295105
32.132	116.410186	32.132	55.144733	32.132	4.102089	32.132	-0.764856
32.432	115.580314	32.432	52.689136	32.432	3.646383	32.432	-1.824295
32.733	117.751150	32.733	57.198283	32.733	4.700481	32.733	-1.951166
33.033	115.633838	33.033	53.101009	33.033	4.074714	33.033	-3.023960
33.333	115.543168	33.333	57.052647	33.333	3.718292	33.333	-2.195769
33.634	123.519880	33.634	59.434894	33.634	4.598656	33.634	-2.520641
33.934	119.240741	33.934	57.867056	33.934	4.950291	33.934	0.431169
34.234	122.155286	34.234	59.048068	34.234	3.960800	34.234	-1.132764
34.535	119.398959	34.535	53.575799	34.535	4.262749	34.535	0.601168
34.835	117.366694	34.835	58.213618	34.835	4.867388	34.835	-0.162029
35.135	121.563867	35.135	63.525598	35.135	4.234549	35.135	0.470890
35.435	122.300479	35.435	58.086119	35.435	6.172252	35.435	-0.991944
35.736	112.257963	35.736	60.620975	35.736	4.432146	35.736	1.862592
36.036	122.061046	36.036	62.333225	36.036	4.284704	36.036	2.053882
36.336	128.615710	36.336	62.869607	36.336	4.680752	36.336	1.535421
36.637	117.057871	36.637	59.328720	36.637	5.924642	36.637	-2.463442
36.937	124.694759	36.937	66.816069	36.937	4.975188	36.937	-1.206694
37.237	120.567863	37.237	63.863529	37.237	4.206839	37.237	-0.698042
37.538	123.988469	37.538	62.846006	37.538	4.536220	37.538	1.546919
37.838	120.936385	37.838	54.329115	37.838	3.736319	37.838	1.533907
38.138	131.192417	38.138	64.199987	38.138	5.658072	38.138	-1.347107
38.438	125.849256	38.438	61.837960	38.438	5.549750	38.438	-1.154209
38.739	122.859611	38.739	63.625514	38.739	4.390785	38.739	-0.238824
39.039	123.957349	39.039	62.486892	39.039	4.650345	39.039	4.184605
39.339	122.635291	39.339	57.527236	39.339	4.284061	39.339	-1.406431
39.640	125.289609	39.640	63.188898	39.640	5.080566	39.640	5.028749
39.940	126.295790	39.940	66.655916	39.940	4.927094	39.940	4.346196
40.240	132.019586	40.240	66.434447	40.240	4.722295	40.240	4.807544
40.541	131.125713	40.541	59.005537	40.541	5.722568	40.541	1.446473
40.841	128.074398	40.841	60.917606	40.841	5.269367	40.841	-0.373005
41.141	130.223684	41.141	62.961796	41.141	5.563904	41.141	-1.747416
41.441	126.413073	41.441	63.790743	41.441	5.479962	41.441	1.722864
41.742	128.614264	41.742	66.676972	41.742	5.071864	41.742	-0.419619
42.042	129.825212	42.042	67.637970	42.042	5.044211	42.042	0.307649
42.342	130.862456	42.342	62.940099	42.342	5.300215	42.342	-4.530228
42.643	131.120375	42.643	66.069214	42.643	5.916046	42.643	1.013808
42.943	134.287401	42.943	62.896975	42.943	5.759849	42.943	4.592967
43.243	129.885943	43.243	66.455290	43.243	6.831923	43.243	-1.065116
43.544	130.556440	43.544	73.780243	43.544	4.519416	43.544	0.210081
43.844	130.108345	43.844	62.831098	43.844	4.899008	43.844	-1.170390
44.144	126.276260	44.144	68.280433	44.144	5.174509	44.144	2.571722
44.444	129.241265	44.444	67.709569	44.444	6.019080	44.444	1.129874
44.745	126.126957	44.745	64.559485	44.745	5.825335	44.745	-1.322035
45.045	126.752031	45.045	65.636295	45.045	5.568708	45.045	-0.497950
45.345	134.683887	45.345	66.305016	45.345	6.643423	45.345	2.175903
45.646	132.125071	45.646	68.547454	45.646	4.845456	45.646	-1.007324
45.946	128.589658	45.946	64.097600	45.946	6.332649	45.946	0.883698
46.246	134.342040	46.246	67.623229	46.246	5.167263	46.246	2.006403
46.547	128.652223	46.547	69.809962	46.547	6.225737	46.547	1.310157
46.847	133.266522	46.847	62.735199	46.847	6.481589	46.847	0.120891
47.147	127.017598	47.147	63.999338	47.147	5.205277	47.147	0.021844
47.447	134.982630	47.447	66.221923	47.447	5.755822	47.447	-2.506461
47.748	128.497869	47.748	68.984601	47.748	5.398004	47.748	3.734945
48.048	131.474174	48.048	75.232664	48.048	5.766822	48.048	2.159824
48.348	132.484895	48.348	70.648123	48.348	5.104938	48.348	3.471651
48.649	133.745559	48.649	67.519319	48.649	6.640218	48.649	-0.305465
48.949	132.731497	48.949	70.157406	48.949	5.410528	48.949	0.714545
49.249	137.363033	49.249	67.125728	49.249	5.540097	49.249	-1.008133
49.550	128.719642	49.550	68.928987	49.550	6.347358	49.550	0.527009
49.850	133.577299	49.850	70.208914	49.850	4.330498	49.850	0.248026
50.150	134.537167	50.150	77.314536	50.150	5.339992	50.150	2.366151
50.450	137.690537	50.450	73.876010	50.450	4.601292	50.450	1.320291
50.751	130.200426	50.751	69.774235	50.751	5.984587	50.751	0.513516
51.051	136.263037	51.051	68.937095	51.051	5.264378	51.051	2.418000
51.351	130.486008	51.351	75.970652	51.351	5.787382	51.351	-1.001806
51.652	134.993300	51.652	64.346494	51.652	5.447721	51.652	-7.118726
51.952	134.087008	51.952	74.323633	51.952	6.562119	51.952	-0.104400
52.252	133.631269	52.252	74.387195	52.252	6.957100	52.252	-0.647354
52.553	134.478623	52.553	73.105461	52.553	6.724048	52.553	-2.660663
52.853	133.390912	52.853	74.095545	52.853	5.927923	52.853	-0.835536
53.153	138.582302	53.153	69.128801	53.153	5.883787	53.153	2.809837
53.453	134.858516	53.453	75.188903	53.453	6.079876	53.453	-3.010184
53.754	129.678327	53.754	73.663675	53.754	6.995749	53.754	1.259982
54.054	134.787473	54.054	74.850042	54.054	6.248045	54.054	4.564719
54.354	136.146649	54.354	71.073638	54.354	5.171206	54.354	0.605632
54.655	133.087161	54.655	70.911202	54.655	6.037177	54.655	-0.782110
54.955	138.965601	54.955	76.168034	54.955	6.697004	54.955	1.038482
55.255	137.626436	55.255	73.738172	55.255	7.107002	55.255	-1.743141
55.556	137.815751	55.556	76.162188	55.556	7.086420	55.556	1.875160
55.856	141.299140	55.856	74.129198	55.856	7.146866	55.856	1.668234
56.156	133.502850	56.156	72.957353	56.156	6.189644	56.156	-2.810041
56.456	136.502192	56.456	71.164562	56.456	6.588641	56.456	-0.457707
56.757	144.735120	56.757	74.862911	56.757	7.438977	56.757	1.503391
57.057	136.082729	57.057	76.332736	57.057	5.257800	57.057	-2.334690
57.357	135.829827	57.357	73.002715	57.357	5.915979	57.357	-1.328232
57.658	131.595579	57.658	73.882789	57.658	6.280011	57.658	2.119873
57.958	134.983148	57.958	80.435042	57.958	6.430810	57.958	-2.639977
58.258	143.416117	58.258	74.132548	58.258	7.268410	58.258	6.866948
58.559	141.478162	58.559	71.941837	58.559	6.520884	58.559	0.839432
58.859	132.076928	58.859	77.198375	58.859	7.221493	58.859	2.290698
59.159	140.986399	59.159	73.221550	59.159	7.542095	59.159	2.634003
59.459	136.380856	59.459	74.796672	59.459	7.984767	59.459	0.072469
59.760	136.176490	59.760	74.262225	59.760	6.957753	59.760	-1.454212
60.060	137.890077	60.060	71.922673	60.060	5.626786	60.060	-0.112103
60.360	138.386627	60.360	76.748076	60.360	6.300560	60.360	2.854338
60.661	137.391867	60.661	73.957295	60.661	7.391970	60.661	-1.907697
60.961	135.800554	60.961	70.954689	60.961	6.798640	60.961	-1.306879
61.261	136.746315	61.261	82.551773	61.261	7.446097	61.261	0.015988
61.562	139.446192	61.562	76.168801	61.562	7.760232	61.562	-1.389734
61.862	142.345012	61.862	75.335096	61.862	6.071238	61.862	-1.866861
62.162	136.005279	62.162	73.759061	62.162	7.558563	62.162	-1.973279
62.462	134.841368	62.462	77.641952	62.462	7.681529	62.462	2.317053
62.763	139.372595	62.763	79.997976	62.763	6.858089	62.763	3.210304
63.063	133.279888	63.063	77.959155	63.063	7.625890	63.063	0.348669
63.363	137.691595	63.363	78.203224	63.363	8.032023	63.363	2.151711
63.664	142.992267	63.664	77.126946	63.664	7.582570	63.664	1.866884
63.964	135.924844	63.964	76.191799	63.964	5.842442	63.964	-1.960432
64.264	137.630235	64.264	73.684605	64.264	7.101629	64.264	2.119100
64.565	136.368558	64.565	76.040697	64.565	7.357998	64.565	-1.171503
64.865	139.061961	64.865	77.771819	64.865	7.016245	64.865	-0.284630
65.165	141.148289	65.165	87.035530	65.165	8.168481	65.165	0.253364
65.465	144.868597	65.465	78.363275	65.465	7.362289	65.465	-1.556744
65.766	138.654252	65.766	78.101640	65.766	7.513977	65.766	2.655791
66.066	137.248602	66.066	76.200781	66.066	6.631595	66.066	-4.350248
66.366	142.659819	66.366	79.722425	66.366	7.124702	66.366	-1.934224
66.667	138.570820	66.667	76.253973	66.667	8.998559	66.667	1.820320
66.967	140.685531	66.967	81.669235	66.967	7.352150	66.967	2.986804
67.267	139.508273	67.267	81.861219	67.267	8.021070	67.267	-1.317637
67.568	139.182060	67.568	78.251339	67.568	7.817650	67.568	-2.562350
67.868	138.450629	67.868	84.732077	67.868	7.988226	67.868	0.231971
68.168	142.103935	68.168	80.106996	68.168	6.969151	68.168	2.007813
68.468	142.425481	68.468	85.480799	68.468	7.006783	68.468	-0.231323
68.769	139.421808	68.769	79.038802	68.769	8.267285	68.769	-2.069245
69.069	140.224575	69.069	77.575385	69.069	7.162684	69.069	-0.296594
69.369	136.886272	69.369	77.114038	69.369	8.466117	69.369	1.004183
69.670	143.106109	69.670	82.322572	69.670	7.503728	69.670	-1.536261
69.970	139.114807	69.970	79.629897	69.970	7.786965	69.970	-1.872426
70.270	135.353516	70.270	77.096627	70.270	7.271111	70.270	1.391197
70.571	143.139813	70.571	84.276660	70.571	8.933285	70.571	-0.590128
70.871	140.995704	70.871	77.693760	70.871	8.266774	70.871	1.111035
71.171	142.856236	71.171	78.998014	71.171	7.834297	71.171	-1.666627
71.471	141.166552	71.471	79.999335	71.471	8.332502	71.471	1.855100
71.772	140.674308	71.772	82.628489	71.772	8.534761	71.772	-0.833081
72.072	140.137565	72.072	81.502462	72.072	7.663501	72.072	-0.669882
72.372	138.464996	72.372	76.325853	72.372	7.903835	72.372	1.199892
72.673	141.060837	72.673	82.672526	72.673	7.554084	72.673	-1.079022
72.973	137.034864	72.973	82.127626	72.973	8.722520	72.973	1.880306
73.273	144.822297	73.273	82.616098	73.273	7.897352	73.273	2.838383
73.574	143.232234	73.574	81.183933	73.574	8.142094	73.574	-1.475491
73.874	142.509143	73.874	84.553206	73.874	9.920984	73.874	-0.242116
74.174	143.337958	74.174	84.279313	74.174	8.070009	74.174	-3.061002
74.474	140.664377	74.474	89.698873	74.474	8.448484	74.474	1.417269
74.775	143.354755	74.775	83.684150	74.775	8.047225	74.775	1.701552
75.075	141.854705	75.075	81.088082	75.075	8.572544	75.075	-4.304702
75.375	136.008721	75.375	85.624399	75.375	8.784212	75.375	4.914725
75.676	140.251235	75.676	78.565152	75.676	7.690321	75.676	1.939338
75.976	141.613308	75.976	76.598280	75.976	8.410155	75.976	-3.736259
76.276	147.875474	76.276	82.471570	76.276	8.199664	76.276	1.474563
76.577	139.572427	76.577	82.648552	76.577	8.973034	76.577	1.995641
76.877	142.637583	76.877	82.260734	76.877	7.869848	76.877	0.230141
77.177	140.515169	77.177	82.938361	77.177	8.672875	77.177	3.390500
77.477	142.452012	77.477	84.695734	77.477	10.132748	77.477	0.419583
77.778	141.789288	77.778	85.663710	77.778	8.300183	77.778	-0.723258
78.078	141.169619	78.078	82.185994	78.078	8.717103	78.078	-3.546376
78.378	148.683686	78.378	88.779848	78.378	8.168642	78.378	-0.766791
78.679	141.319201	78.679	83.018846	78.679	8.332259	78.679	-1.935556
78.979	142.005684	78.979	87.327366	78.979	8.330833	78.979	-0.309333
79.279	143.575842	79.279	81.070086	79.279	8.918194	79.279	0.927550
79.580	141.694936	79.580	83.754593	79.580	9.579998	79.580	-3.849197
79.880	141.816848	79.880	82.532824	79.880	7.916246	79.880	2.032269
80.180	141.202810	80.180	87.871257	80.180	8.679530	80.180	4.815799
80.480	140.281512	80.480	79.742889	80.480	9.121522	80.480	-3.248406
80.781	138.606588	80.781	84.566322	80.781	8.548330	80.781	-2.265273
81.081	143.055416	81.081	82.752133	81.081	8.265154	81.081	-1.679954
81.381	142.297740	81.381	84.780293	81.381	8.882096	81.381	2.681818
81.682	149.409336	81.682	81.176800	81.682	7.778382	81.682	1.331769
81.982	141.114323	81.982	86.565174	81.982	7.949578	81.982	1.952716
82.282	140.232583	82.282	80.971735	82.282	8.836728	82.282	1.644503
82.583	141.778735	82.583	86.575871	82.583	9.609635	82.583	-1.452145
82.883	141.666163	82.883	89.612057	82.883	8.406682	82.883	1.215493
83.183	148.187733	83.183	85.621816	83.183	10.036944	83.183	-1.024739
83.483	142.903409	83.483	83.002302	83.483	8.866431	83.483	-1.849635
83.784	140.921843	83.784	83.209863	83.784	9.306961	83.784	-1.304875
84.084	147.240708	84.084	82.289254	84.084	8.462938	84.084	3.026653
84.384	141.631607	84.384	86.310335	84.384	9.070568	84.384	1.443441
84.685	143.205801	84.685	84.759869	84.685	8.493892	84.685	1.245412
84.985	139.511492	84.985	88.114188	84.985	8.177443	84.985	-1.531772
85.285	137.832874	85.285	86.438917	85.285	9.819158	85.285	1.588910
85.586	140.637521	85.586	86.660400	85.586	9.737705	85.586	3.248409
85.886	138.842487	85.886	87.482553	85.886	8.830769	85.886	-0.193227
86.186	140.449180	86.186	87.506069	86.186	8.708005	86.186	0.628785
86.486	143.299420	86.486	86.005852	86.486	9.267311	86.486	-2.735103
86.787	142.119134	86.787	82.958428	86.787	9.075191	86.787	-0.807103
87.087	146.538368	87.087	83.856335	87.087	9.059943	87.087	-0.811585
87.387	140.406849	87.387	84.577505	87.387	9.324886	87.387	0.590977
87.688	144.583318	87.688	82.445737	87.688	9.235844	87.688	-2.790019
87.988	140.120600	87.988	86.444551	87.988	8.645347	87.988	-2.025699
88.288	141.101697	88.288	90.485648	88.288	9.160368	88.288	-2.313807
88.589	140.114284	88.589	87.073858	88.589	8.820854	88.589	-2.083336
88.889	144.594212	88.889	83.870585	88.889	8.846151	88.889	0.421268
89.189	146.149139	89.189	81.440300	89.189	9.492926	89.189	5.171307
89.489	141.070430	89.489	85.823543	89.489	10.445468	89.489	-1.145257
89.790	140.805125	89.790	84.238955	89.790	9.949330	89.790	-0.790915
90.090	143.195268	90.090	85.328008	90.090	9.458276	90.090	1.726938
90.390	143.627850	90.390	86.219999	90.390	9.127268	90.390	-1.211649
90.691	145.467970	90.691	89.917207	90.691	10.169688	90.691	1.223177
90.991	144.082472	90.991	87.202207	90.991	9.345670	90.991	1.786044
91.291	145.809667	91.291	80.012618	91.291	9.247942	91.291	0.281106
91.592	145.168815	91.592	85.983409	91.592	8.029287	91.592	-1.210283
91.892	146.709790	91.892	84.734647	91.892	9.712001	91.892	-2.429500
92.192	144.018079	92.192	86.582457	92.192	8.205425	92.192	2.851994
92.492	149.802456	92.492	90.021315	92.492	9.889695	92.492	-3.763904
92.793	144.000061	92.793	85.927913	92.793	8.979471	92.793	-2.172883
93.093	145.237646	93.093	85.376327	93.093	10.007779	93.093	0.794335
93.393	145.647027	93.393	89.140458	93.393	9.399089	93.393	-1.500342
93.694	141.236308	93.694	85.307954	93.694	9.555043	93.694	-0.708195
93.994	148.024844	93.994	90.268054	93.994	9.400174	93.994	-0.511606
94.294	145.796440	94.294	85.375281	94.294	9.994219	94.294	0.826085
94.595	148.235243	94.595	84.525454	94.595	9.423682	94.595	-2.345819
94.895	144.398041	94.895	85.316596	94.895	9.859194	94.895	1.607569
95.195	139.997252	95.195	84.210614	95.195	9.364982	95.195	3.675744
95.495	145.172012	95.495	85.930275	95.495	8.952897	95.495	0.051076
95.796	149.593765	95.796	82.368215	95.796	8.567273	95.796	0.590481
96.096	147.570145	96.096	85.201328	96.096	10.227143	96.096	-4.012301
96.396	145.108034	96.396	92.296952	96.396	10.578671	96.396	0.908123
96.697	139.577428	96.697	82.668298	96.697	9.848233	96.697	0.993374
96.997	143.327387	96.997	85.453860	96.997	10.200181	96.997	1.127217
97.297	143.149925	97.297	85.805088	97.297	9.887245	97.297	0.763759
97.598	138.375957	97.598	86.027165	97.598	8.133669	97.598	-0.281930
97.898	140.976655	97.898	86.026186	97.898	10.161552	97.898	2.392055
98.198	147.524924	98.198	87.682573	98.198	9.167315	98.198	0.582796
98.498	143.707833	98.498	88.043421	98.498	10.073323	98.498	-1.622185
98.799	145.223617	98.799	86.885737	98.799	11.414657	98.799	3.392223
99.099	142.770437	99.099	87.029683	99.099	10.186209	99.099	-1.796997
99.399	140.867376	99.399	86.177892	99.399	10.147936	99.399	-0.570932
99.700	145.286227	99.700	88.315405	99.700	8.008725	99.700	-0.278843
100.000	142.479963	100.000	86.108085	100.000	9.731904	100.000	4.037941
100.300	141.259173	100.300	88.492480	100.300	11.549899	100.300	0.790832
100.601	142.888439	100.601	83.101321	100.601	9.405430	100.601	-2.314323
100.901	143.597646	100.901	87.591942	100.901	10.137679	100.901	-1.879867
101.201	142.418922	101.201	92.807978	101.201	10.796517	101.201	-0.041289
101.502	142.826248	101.502	83.130783	101.502	9.146122	101.502	2.115229
101.802	142.377339	101.802	88.941904	101.802	9.935242	101.802	0.619252
102.102	142.095209	102.102	89.867520	102.102	10.231034	102.102	0.031878
102.402	133.879305	102.402	82.875490	102.402	10.386378	102.402	-0.219067
102.703	141.144960	102.703	88.161801	102.703	11.007423	102.703	1.467229
103.003	147.949172	103.003	88.179175	103.003	10.125668	103.003	-2.110414
103.303	138.057382	103.303	88.621097	103.303	10.486768	103.303	-1.355778
103.604	146.925198	103.604	93.199245	103.604	9.490118	103.604	2.889508
103.904	140.195998	103.904	89.564572	103.904	9.964250	103.904	0.913087
104.204	143.094483	104.204	87.981605	104.204	10.819564	104.204	-4.434891
104.505	141.052455	104.505	86.260821	104.505	9.685525	104.505	-0.472047
104.805	144.996768	104.805	84.801191	104.805	9.884620	104.805	0.838346
105.105	143.620627	105.105	88.342043	105.105	10.172836	105.105	-2.926014
105.405	136.946516	105.405	87.839124	105.405	10.480361	105.405	-1.240360
105.706	141.029969	105.706	91.257982	105.706	9.579780	105.706	0.627535
106.006	140.608367	106.006	87.969775	106.006	10.608256	106.006	-1.384320
106.306	143.897510	106.306	91.896120	106.306	11.280525	106.306	-2.660618
106.607	144.588326	106.607	89.486153	106.607	9.687229	106.607	0.177726
106.907	145.865399	106.907	87.694024	106.907	10.969786	106.907	1.587551
107.207	144.069134	107.207	91.026830	107.207	10.455164	107.207	-0.138864
107.508	147.071761	107.508	88.667651	107.508	10.022036	107.508	1.262731
107.808	146.929184	107.808	90.906083	107.808	10.090781	107.808	0.736711
108.108	142.770713	108.108	87.117862	108.108	9.656293	108.108	-0.340791
108.408	144.457691	108.408	89.628564	108.408	10.941717	108.408	0.825572
108.709	144.933841	108.709	88.247930	108.709	10.899121	108.709	-0.874384
109.009	141.943839	109.009	90.232694	109.009	10.283570	109.009	-0.536910
109.309	138.673306	109.309	93.122358	109.309	10.746587	109.309	0.703596
109.610	146.583323	109.610	83.922165	109.610	11.058006	109.610	-0.937769
109.910	144.020546	109.910	88.051472	109.910	10.028087	109.910	0.668386
110.210	145.328485	110.210	89.763467	110.210	11.367140	110.210	3.190807
110.511	151.979731	110.511	86.942630	110.511	10.485160	110.511	0.288563
110.811	146.695277	110.811	94.108653	110.811	11.264989	110.811	-1.673915
111.111	143.753738	111.111	92.539109	111.111	9.692480	111.111	-1.665588
111.411	142.490548	111.411	88.741454	111.411	10.381611	111.411	0.266157
111.712	138.085908	111.712	87.765246	111.712	9.866262	111.712	-4.314202
112.012	142.174393	112.012	92.980657	112.012	10.804031	112.012	-4.116464
112.312	141.314827	112.312	88.687810	112.312	11.053152	112.312	0.065997
112.613	144.038848	112.613	88.936308	112.613	11.188337	112.613	-0.690000
112.913	143.839006	112.913	89.572703	112.913	9.956195	112.913	-1.574154
113.213	141.144893	113.213	90.726834	113.213	11.246963	113.213	0.871687
113.514	143.536732	113.514	87.867581	113.514	10.005051	113.514	-0.189507
113.814	143.922181	113.814	92.263903	113.814	10.586168	113.814	1.332902
